SIN ACENTOS,cruce falso,precio_m2,lista_airbnb,Cruce
Santa Ursula Xitla,#N/A,30201,Sindicato Mexicano De Electricistas,Sindicato Mexicano de Electricistas
Santiago,#N/A,45305,Cristo Rey,#N/A
Santiago Ahuizotla,#N/A,35360,Barrio San Lorenzo,#N/A
Santiago Norte,#N/A,24154,Vasco De Quiroga,#N/A
Santiago Sur,#N/A,33318,Benito Juarez,#N/A
Santiago Tepalcatlalpan,#N/A,44630,Cultura Maya,#N/A
Santiago Zapotitlan,#N/A,17405,Apatlaco,#N/A
Santo Domingo,#N/A,11702,Agricola Metropolitana,Agricola Metropolitana
Santo Tomas,Santo Tomas,24387,Reynosa Tamaulipas,Reynosa Tamaulipas
Santo Tomas Ajusco,#N/A,14735,Barrio Candelaria Ticoman,#N/A
Secretaria de Relaciones Exteriores,#N/A,44601,Pueblo Santa Catarina,#N/A
Sector Popular,Sector Popular,5549,Ampliacion Los Reyes,#N/A
Sevilla,Sevilla,12519,1ra Ampliacion Presidentes,#N/A
Simon Bolivar,Simon Bolivar,50359,Artes Graficas,Artes Graficas
Sindicato Mexicano de Electricistas,Sindicato Mexicano De Electricistas,30537,Barrio San Andres,#N/A
Solidaridad,#N/A,29479,Caracol,#N/A
Tabacalera,Tabacalera,43223,Pueblo San Sebastian Tecoloxtitla,#N/A
Tablas de San Lorenzo,#N/A,47159,Pueblo Santa Cruz Xochitepec,#N/A
Tacuba,Tacuba,14767,Barrio San Cristobal,#N/A
Tacubaya,Tacubaya,21052,Inpi Picos,INPI Picos
Tarango,Tarango,49569,Francisco Villa,#N/A
Taxqueña,#N/A,21809,Bosques De Tetlameya,Bosques de Tetlameya
Tenorios,Tenorios,21930,Ampliacion San Marcos Norte,#N/A
Tepalcates,Tepalcates,47401,,
Tetelpan,#N/A,46556,,
Tetlalpan,#N/A,46080,,
Tezozomoc,#N/A,31493,,
Ticoman,#N/A,21080,,
Tierra Nueva,#N/A,28862,,
Tizampampano del Pueblo Tetelpan,#N/A,15012,,
Tizapan,#N/A,24062,,
Tlacoquemecatl,Tlacoquemecatl,20283,,
Tlalcoligia,Tlalcoligia,46910,,
Tlalpan,Tlalpan,57458,,
Tlalpuente,#N/A,19797,,
Tlatilco,Tlatilco,34235,,
Tlaxpana,Tlaxpana,28333,,
Tlazintla,Tlazintla,29722,,
Tolteca,Tolteca,21888,,
Toriello Guerra,Toriello Guerra,20073,,
Torre Blanca,#N/A,68602,,
Torres de Maurel,#N/A,30717,,
Torres de Mixcoac,#N/A,34289,,
Torres de Padierna,#N/A,50084,,
Torres de Potrero,Torres De Potrero,31007,,
Torres de San Pedro,#N/A,29712,,
Trabajadores de Hierro,#N/A,,,
Transito,Transito,19941,,
Un Hogar Para Cada Trabajador,#N/A,28083,,
Unidad Cuitlahuac,Unidad Cuitlahuac,11527,,
Unidad Ejercito Constitucionalista,Unidad Ejercito Constitucionalista,46328,,
Unidad Independencia IMSS,#N/A,2410,,
Universal,#N/A,24352,,
Urbana Tlalpan Fovissste,#N/A,19419,,
Valentin Gomez Farias,Valentin Gomez Farias,34380,,
Valle de Tepepan,Valle De Tepepan,5543,,
Valle Escondido,Valle Escondido,43039,,
Valle Gomez,Valle Gomez,46634,,
Valle Gomez,Valle Gomez,12169,,
Ventura Perez de Alba,#N/A,17910,,
Venustiano Carranza,Venustiano Carranza,38740,,
Verano,#N/A,51105,,
Vergel de Coyoacan,Vergel De Coyoacan,22073,,
Vergel del Sur,Vergel Del Sur,14953,,
Veronica Anzures,Veronica Anzures,55128,,
Viaducto Piedad,Viaducto Piedad,39581,,
Victoria de las Democracias,Victoria De Las Democracias,22321,,
Viejo Ejido de Santa Ursula Coapa,#N/A,16167,,
Villa Centroamericana,#N/A,32370,,
Villa Coapa,#N/A,49090,,
Villa Coyoacan,Villa Coyoacan,28643,,
Villa Cuemanco,#N/A,41583,,
Villa de Cortes,Villa De Cortes,37658,,
Villa del Puente,#N/A,38579,,
Villa Lazaro Cardenas,Villa Lazaro Cardenas,58511,,
Villa Milpa Alta,#N/A,47473,,
Villa Panamericana,#N/A,31387,,
Villa Quietud,Villa Quietud,60893,,
Villa Verdun,#N/A,36427,,
Vista Alegre,Vista Alegre,55171,,
Vista Hermosa,#N/A,2620,,
Viveros Coatectlan,#N/A,37402,,
Viveros de Coyoacan,#N/A,47336,,
World Trade Center Ciudad de Mexico,#N/A,33196,,
Xoco,Xoco,25000,,
Xopa,#N/A,20870,,
Xotepingo,Xotepingo,42322,,
Zacahuitzco,Zacahuitzco,16071,,
Zacahuitzco,Zacahuitzco,44618,,
Zacayucan Peña Pobre,#N/A,18492,,
Zapotla,#N/A,35427,,
Zaragoza Bahia,#N/A,21345,,
Zona Centro,#N/A,18778,,
Acacias,,61730,,
8 de agosto,,48380,,
Actipan,,48934,,
Albert,,39262,,
Americas Unidas,,46689,,
Atenor Salas,,46572,,
Ciudad de los Deportes,,47004,,
Del Lago,,39921,,
Del Valle,,53422,,
Extremadura Insurgentes,,62241,,
General Pedro Maria Anaya,,46157,,
Independencia,,47288,,
Insurgentes Mixcoac,,69464,,
Insurgentes San Borja,,44201,,
Josefa Ortiz de Dominguez,,48570,,
Letran Valle,,52142,,
Merced Gomez,,45798,,
Miguel Aleman,,46732,,
Mixcoac,,54606,,
Moderna,,36939,,
Napoles,,57403,,
Narvarte,,54249,,
Nativitas,,50175,,
Niños Heroes,,40131,,
Nochebuena,,43626,,
Postal,,47035,,
San Juan,,44795,,
San Pedro de los Pinos,,53437,,
San Simon Ticumac,,38477,,
Santa Cruz Atoyac,,64518,,
Santa Maria Nonoalco,,46785,,
Tlacoquemecatl,,44121,,
Vertiz Narvarte,,31513,,
Xoco,,64220,,
Zacahuitzco,,49413,,
1a Ampliacion Presidentes,,9701,,
Alcantarilla,,32018,,
Alfonso XIII,,40151,,
Altavista,,45676,,
Alvaro Obregon,,43315,,
Ampliacion Alpes,,44484,,
Axotla,,36006,,
Bejero del Pueblo Santa Fe,,38400,,
Campestre,,48451,,
Carola,,45419,,
Chimalistac,,46321,,
Colina del Sur,,25977,,
El Encino del Pueblo Tetelpan,,32577,,
Ermita Tizapan,,34795,,
Florida,,53318,,
Garcimarrero,,28381,,
Guadalupe Inn,,68319,,
Jardines del Pedregal,,60128,,
La Otra Banda,,50386,,
Las Aguilas,,55007,,
Lomas De Las Aguilas,,32564,,
Lomas de San Angel Inn,,39120,,
Lomas de Santa Fe,,55184,,
Lomas de Tarango,,45222,,
Los Alpes,,63408,,
Merced Gomez,,45798,,
Olivar de los Padres,,46053,,
Paseo de las Lomas,,52267,,
Progreso Tizapan,,40978,,
San Angel,,56142,,
San Angel Inn,,58361,,
San Bartolo Ameyalco,,42056,,
San Pedro de los Pinos,,53437,,
Santa Fe,,54933,,
Santa Lucia,,37845,,
Tetelpan,,42196,,
Tizapan,,51853,,
Tlacopac,,55157,,
Tolteca,,38241,,
Torres de Potrero,,42212,,
Villa Verdun,,39323,,
Algarin,,37510,,
Asturias,,40866,,
Atlampa,,33528,,
Buenavista,,35800,,
Buenos Aires,,25535,,
Centro,,54634,,
Condesa,,72038,,
Cuauhtemoc,,55052,,
Doctores,,54702,,
Esperanza,,47962,,
Felipe Pescador,,29791,,
Guerrero,,41333,,
Hipodromo Condesa,,84073,,
Juarez,,74000,,
Maza,,30208,,
Morelos,,37496,,
Nonoalco Tlatelolco,,26568,,
Obrera,,29037,,
Paulino Navarro,,18333,,
Peralvillo,,26150,,
Roma,,71841,,
San Rafael,,56947,,
San Simon Tolnahuac,,31562,,
Santa Maria Insurgentes,,51476,,
Santa Maria La Ribera,,44263,,
Tabacalera,,84518,,
Transito,,33267,,
Valle Gomez,,37153,,
Vista Alegre,,21689,,
16 de Septiembre,,33281,,
5 de Mayo,,22388,,
Agricultura,,33748,,
Ahuehuetes Anahuac,,38909,,
Ampliacion Daniel Garza,,55199,,
Anzures,,62553,,
Argentina Poniente,,41077,,
Bosque de las Lomas,,45902,,
Daniel Garza,,22770,,
Dos Lagos,,33720,,
Francisco I Madero,,58316,,
Granada,,78555,,
Huichapan,,31413,,
Irrigacion,,44660,,
Lago Norte,,33900,,
Lago Sur,,37953,,
Legaria,,34827,,
Lomas Altas,,57259,,
Lomas de Bezares,,53122,,
Lomas de Reforma,,69693,,
Los Manzanos,,38152,,
Mariano Escobedo,,37410,,
Polanco,,69088,,
Real de las Lomas,,51881,,
Reforma Social,,61260,,
Tacuba,,33140,,
Tacubaya,,34679,,
Tlaxpana,,33502,,
Torre Blanca,,33344,,
Veronica Anzures,,50822,,
Acueducto de Guadalupe,,22498,,
Bondojito,,34369,,
Campestre Aragon,,28987,,
Candelaria Ticoman,,27193,,
Guadalupe Insurgentes,,40363,,
Guadalupe Tepeyac,,35647,,
Industrial,,43984,,
La Purisima Ticoman,,26140,,
Lindavista Norte,,59044,,
Lindavista Sur,,59044,,
Lindavista Vallejo I Seccion,,18696,,
Lindavista Vallejo II Seccion,,22456,,
Lindavista Vallejo 3a Seccion,,39783,,
Martin Carrera,,20488,,
Nueva Vallejo,,48606,,
Residencial Acueducto de Guadalupe,,33243,,
Residencial la Escalera,,32970,,
Residencial Zacatenco,,47947,,
San Bartolo Atepehuacan,,33493,,
San Jose Ticoman,,44657,,
San Juan de Aragon,,22491,,
San Pedro El Chico,,24938,,
San Pedro Zacatenco,,43938,,
Tablas de San Agustin,,31048,,
Tepeyac Insurgentes,,37004,,
Torres Lindavista,,35836,,
Vallejo,,30816,,
Villa Gustavo A. Madero,,34862,,
Polanco I Seccion,,97250,,
Polanco Ii Seccion,,97250,,
Polanco Iii Seccion,,97250,,
Polanco Iv Seccion,,97250,,
Polanco V Seccion,,97250,,
Lomas De Chapultepec I Seccion,,70212,,
Lomas De Chapultepec Ii Seccion,,70212,,
Lomas De Chapultepec Iii Seccion,,70212,,
Lomas De Chapultepec Iv Seccion,,70212,,
Lomas De Chapultepec V Seccion,,70212,,
Lomas De Chapultepec Vi Seccion,,70212,,
Lomas De Chapultepec Vii Seccion,,70212,,
Lomas De Chapultepec Viii Seccion,,70212,,
Narvarte Oriente,,54249,,
Narvarte Poniente,,54250,,
Del Valle Centro,,53422,,
Del Valle Norte,,53422,,
Del Valle Sur,,53422,,
San Miguel Chapultepec I Seccion,,68222,,
San Miguel Chapultepec Ii Seccion,,68222,,
