cve_ent,entidad,cve_alc,alc,cve_col,colonia,clasif,SISTEMA,NOMBRE,LINEA,EST,CVE_EOD17,TIPO,ALCALDIAS,AÑO,CVE_EST
09,Ciudad de México,015,Cuauhtémoc,015-014,Guerrero,Colonia,Metrobús,Bellas Artes,04,06,11117,Intermedia,Cuauhtémoc,2012,MB0406
09,Ciudad de México,015,Cuauhtémoc,015-014,Guerrero,Colonia,Metrobús,Bellas Artes,04,52,11117,Intermedia,Cuauhtémoc,2012,MB0452
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Hidalgo,04,05,11128,Transbordo,Cuauhtémoc,2012,MB0405
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Hidalgo,04,51,11128,Transbordo,Cuauhtémoc,2012,MB0451
09,Ciudad de México,015,Cuauhtémoc,015-005,Buenavista,Colonia,Metrobús,Museo San Carlos,04,04,11140,Intermedia,Cuauhtémoc,2012,MB0404
09,Ciudad de México,015,Cuauhtémoc,015-030,Tabacalera,Colonia,Metrobús,Museo San Carlos,04,50,11140,Intermedia,Cuauhtémoc,2012,MB0450
09,Ciudad de México,015,Cuauhtémoc,015-005,Buenavista,Colonia,Metrobús,Buenavista,04,01,11118,Terminal / Transbordo,Cuauhtémoc,2012,MB0401
09,Ciudad de México,017,Venustiano Carranza,017-009,Adolfo Lopez Mateos,Colonia,Metrobús,Pantitlán,04,38,,Terminal,Venustiano Carranza,2021,MB0438
09,Ciudad de México,017,Venustiano Carranza,017-030,Cuchilla Pantitlan,Colonia,Metrobús,Calle 6,04,39,,Intermedia,Venustiano Carranza / Iztacalco,2022,MB0439
09,Ciudad de México,017,Venustiano Carranza,017-023,Arenal 4a. Seccion,Colonia,Metrobús,Alameda Oriente,04,40,,Terminal,Venustiano Carranza / Estado de México - Nezahualcóyotl,2022,MB0440
09,Ciudad de México,017,Venustiano Carranza,017-067,Zona Centro,Colonia,Metrobús,Mercado de Sonora,04,33,11135,Intermedia,Venustiano Carranza,2012,MB0433
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Pino Suárez Sur,04,45,,Intermedia,Cuauhtémoc,,MB0445
09,Ciudad de México,005,Gustavo A. Madero,005-104,Lindavista Sur,Colonia,Metrobús,Dep. 18 de Marzo,01,02,11013,Transbordo,Gustavo A. Madero,2005,MB0102
09,Ciudad de México,005,Gustavo A. Madero,005-111,Magdalena De Las Salinas,Colonia,Metrobús,Eúzkaro,01,03,11018,Intermedia,Gustavo A. Madero,2005,MB0103
09,Ciudad de México,005,Gustavo A. Madero,005-038,Capultitlan,Colonia,Metrobús,Potrero,01,04,11038,Intermedia,Gustavo A. Madero,2005,MB0104
09,Ciudad de México,005,Gustavo A. Madero,005-172,Vallejo Poniente,Colonia,Metrobús,La Raza,01,05,11029,Transbordo,Gustavo A. Madero,2005,MB0105
09,Ciudad de México,015,Cuauhtémoc,015-028,Santa Maria Insurgentes,Colonia,Metrobús,Circuito,01,06,11008,Transbordo,Cuauhtémoc,2005,MB0106
09,Ciudad de México,015,Cuauhtémoc,015-027,San Simon Tolnahuac,Colonia,Metrobús,San Simón,01,07,11042,Intermedia,Cuauhtémoc,2005,MB0107
09,Ciudad de México,015,Cuauhtémoc,015-004,Atlampa,Colonia,Metrobús,Manuel González,01,08,11030,Intermedia,Cuauhtémoc,2005,MB0108
09,Ciudad de México,015,Cuauhtémoc,015-005,Buenavista,Colonia,Metrobús,Buenavista,01,09,11004,Transbordo,Cuauhtémoc,2005,MB0109
09,Ciudad de México,015,Cuauhtémoc,015-005,Buenavista,Colonia,Metrobús,El Chopo,01,10,11017,Intermedia,Cuauhtémoc,2005,MB0110
